ItemID,InvoiceID,Description,Quantity,UnitPrice
116,41,Hardware Purchase,5,2931.38
117,41,Hardware Purchase,2,2904.14
118,42,Consulting Services,5,551.68
119,42,Support Contract,10,4086.77
120,42,Software License,2,3319.14
121,42,Software License,7,4031.85
122,42,Consulting Services,8,2855.55
123,43,Consulting Services,5,223.62
124,43,Consulting Services,2,2213.09
125,43,Training Session,8,694.04
126,43,Consulting Services,10,1607.94
127,44,Support Contract,10,1004.61
128,44,Training Session,4,3445.43
129,44,Software License,10,4135.94
130,44,Training Session,7,306.2
131,45,Training Session,5,4299.61
132,45,Training Session,8,963.26
133,46,Support Contract,5,4177.39
134,46,Consulting Services,6,136.78
135,47,Software License,1,3939.67
136,47,Support Contract,3,819.28
137,47,Training Session,8,2466.27
138,47,Consulting Services,10,1998.17
139,47,Consulting Services,9,3263.68
140,48,Hardware Purchase,2,490.37
141,49,Training Session,6,1378.5
142,49,Consulting Services,10,2979.19
143,49,Hardware Purchase,9,366.49
144,49,Consulting Services,8,137.19
145,50,Software License,7,3340.99
146,50,Support Contract,8,1330.57
147,50,Hardware Purchase,1,2721.24
148,50,Hardware Purchase,10,3748.83
149,51,Consulting Services,1,724.33
150,51,Software License,3,2279.1
151,52,Support Contract,5,3287.67
152,52,Software License,7,844.7
153,52,Training Session,3,1683.07
154,52,Software License,5,3964.52
155,53,Software License,2,159.53
156,53,Software License,1,2486.8
157,53,Consulting Services,2,4176.89
158,54,Training Session,6,1506.23
159,55,Consulting Services,4,3855.63
160,55,Support Contract,5,4045.82
161,56,Training Session,10,4592.08
162,56,Support Contract,10,2555.43
163,57,Hardware Purchase,10,763.3
164,57,Training Session,4,3302.13
165,57,Support Contract,1,1697.48
166,57,Consulting Services,7,3065.46
167,58,Consulting Services,3,4350.47
168,58,Training Session,8,4203.25
169,58,Support Contract,9,1826.03
170,58,Training Session,8,4936.03
171,58,Hardware Purchase,1,3451.96
172,59,Software License,5,1638.66
173,59,Software License,7,4300.84
174,60,Software License,3,4025.76
175,60,Consulting Services,4,2811.78
176,60,Consulting Services,2,1667.57
177,60,Support Contract,7,2978.51
178,60,Support Contract,1,4242.15
179,61,Consulting Services,1,4228.3
180,61,Consulting Services,4,2386.04
181,61,Consulting Services,10,3220.7
182,62,Support Contract,7,822.61
183,63,Training Session,8,961.06
184,64,Training Session,1,1586.83
185,64,Support Contract,9,1641.47
186,64,Consulting Services,7,261.82
187,65,Support Contract,6,870.94
188,66,Software License,2,100.86
189,66,Training Session,6,1040.07
190,67,Training Session,6,1379.49
191,67,Consulting Services,5,558.17
192,67,Software License,5,3832.13
193,67,Training Session,9,2559.62
194,68,Software License,2,3125.35
195,68,Consulting Services,8,4264.21
196,68,Consulting Services,7,2826.89
197,69,Training Session,3,2304.87
198,69,Software License,5,1252.21
199,70,Hardware Purchase,2,4353.21
200,71,Training Session,10,1869.1
201,71,Support Contract,10,4699.46
202,71,Support Contract,7,3474.09
203,71,Consulting Services,6,1138.28
204,72,Software License,1,840.75
205,73,Training Session,1,1278.84
206,73,Training Session,3,1316.2
207,73,Hardware Purchase,7,4908.26
208,73,Consulting Services,8,634.41
209,73,Support Contract,9,3919.34
210,74,Software License,5,4824.64
211,74,Hardware Purchase,4,3728.78
212,74,Support Contract,5,3489.49
213,74,Training Session,8,236.45
214,75,Training Session,6,2125.18
215,76,Hardware Purchase,1,2107.01
216,76,Software License,4,2039.27
217,76,Consulting Services,5,2865.16
218,76,Consulting Services,10,4833.9
219,76,Support Contract,8,2365.19
220,77,Support Contract,2,262.63
221,78,Software License,10,392.53
222,78,Software License,10,2975.0
223,78,Support Contract,9,862.95
224,78,Consulting Services,1,4964.71
225,78,Software License,2,213.93
226,79,Hardware Purchase,3,2419.16
227,79,Hardware Purchase,8,2778.96
228,79,Training Session,7,2974.87
229,79,Consulting Services,7,4192.36
230,79,Software License,5,2353.05
231,80,Support Contract,2,4764.91
232,80,Consulting Services,10,3807.73
233,80,Hardware Purchase,7,4576.48
234,80,Consulting Services,9,4025.22
235,80,Hardware Purchase,10,3851.84
236,81,Training Session,1,2109.94
237,81,Software License,4,2262.45
238,81,Hardware Purchase,10,1079.18
239,81,Training Session,8,2095.48
240,81,Consulting Services,6,4779.27
241,82,Software License,5,4896.7
242,82,Software License,8,1569.74
243,82,Hardware Purchase,2,1626.23
244,82,Support Contract,5,1981.46
245,83,Support Contract,10,1672.72
246,84,Training Session,6,4228.52
247,84,Training Session,10,4513.54
248,84,Software License,7,285.51
249,85,Training Session,10,1231.83
250,85,Software License,7,2739.41
251,86,Hardware Purchase,1,835.05
252,87,Consulting Services,5,3691.41
253,87,Support Contract,1,2099.72
254,87,Consulting Services,3,4994.27
255,88,Hardware Purchase,8,4070.99
256,88,Training Session,5,1430.78
257,88,Software License,2,3048.59
258,88,Training Session,5,3705.97
259,88,Software License,9,4246.68
260,89,Software License,3,3649.42
261,89,Software License,9,3206.2
262,90,Software License,9,2506.82
263,90,Software License,9,4606.7
264,90,Support Contract,9,120.21
265,91,Consulting Services,1,4373.48
266,91,Software License,10,378.27
267,92,Consulting Services,6,1758.94
268,92,Hardware Purchase,9,1189.8
269,93,Software License,6,637.29
270,93,Training Session,6,3777.98
271,93,Software License,10,4868.76
272,94,Training Session,7,568.06
273,95,Software License,7,3422.14
274,95,Hardware Purchase,8,4412.24
275,96,Consulting Services,4,2397.12
276,96,Training Session,1,377.17
277,97,Consulting Services,6,3268.72
278,98,Hardware Purchase,2,2105.21
279,98,Consulting Services,4,1704.86
280,98,Support Contract,2,2099.46
281,98,Training Session,1,4135.45
282,98,Training Session,3,4629.5
283,99,Training Session,8,2642.25
284,99,Support Contract,9,2029.37
285,99,Training Session,10,634.58
286,99,Software License,8,4836.51
287,99,Software License,5,4884.32
288,100,Hardware Purchase,6,3624.46
289,100,Support Contract,6,2781.89
290,100,Support Contract,2,4698.92
291,100,Support Contract,9,1555.38
292,101,Software License,5,2038.4
293,102,Training Session,5,1658.41
294,102,Consulting Services,9,863.1
295,103,Support Contract,10,1839.73
296,103,Consulting Services,5,875.18
297,103,Training Session,4,812.0
298,103,Software License,4,4855.27
299,104,Consulting Services,1,4377.32
300,104,Support Contract,1,2783.29
301,104,Hardware Purchase,2,3764.34
302,105,Support Contract,5,3752.57
303,105,Support Contract,3,3701.37
304,106,Training Session,10,632.31
305,106,Support Contract,4,4595.13
306,106,Hardware Purchase,5,2702.71
307,107,Software License,10,2378.18
308,108,Software License,1,3402.75
309,108,Consulting Services,5,3913.34
310,108,Hardware Purchase,7,2960.46
311,108,Training Session,7,4764.59
312,109,Software License,5,3636.06
313,110,Training Session,8,3060.13
314,110,Consulting Services,10,647.16
315,110,Hardware Purchase,7,4770.11
316,111,Software License,7,2088.69
317,112,Hardware Purchase,6,1431.57
318,113,Software License,3,3503.08
319,113,Support Contract,1,1398.88
320,114,Training Session,10,3060.46
321,115,Support Contract,7,3451.0
322,115,Software License,1,3721.18
323,115,Software License,9,1335.05
324,116,Software License,6,247.01
325,116,Support Contract,3,2896.96
326,116,Support Contract,6,3450.93
327,116,Software License,4,4096.6
328,117,Consulting Services,9,3046.55
329,117,Consulting Services,7,2001.94
330,117,Software License,3,3271.71
331,117,Software License,5,4889.06
332,117,Support Contract,7,3232.64
333,118,Training Session,10,1968.39
334,118,Consulting Services,2,1390.86
335,119,Training Session,2,4802.3
336,119,Consulting Services,9,4789.75
337,119,Consulting Services,7,2302.49
338,120,Support Contract,7,1665.62
339,120,Training Session,6,2636.5
340,120,Software License,1,1468.09
341,121,Support Contract,2,4222.82
342,121,Support Contract,10,4743.14
343,122,Training Session,7,1425.37
344,122,Consulting Services,3,3342.23
345,122,Training Session,1,852.61
346,123,Support Contract,1,2327.09
347,124,Support Contract,7,1681.24
348,124,Hardware Purchase,10,1853.44
349,124,Support Contract,8,500.66
350,124,Consulting Services,5,4426.01
351,125,Hardware Purchase,7,378.12
352,125,Training Session,6,3188.82
353,125,Hardware Purchase,8,2512.83
354,125,Hardware Purchase,6,2880.7
355,125,Consulting Services,2,814.86
356,126,Hardware Purchase,5,4663.04
357,126,Consulting Services,2,2119.16
358,126,Support Contract,4,1347.81
359,127,Consulting Services,4,4165.31
360,127,Software License,1,4732.96
361,127,Consulting Services,9,4197.1
362,127,Support Contract,1,3687.02
363,128,Training Session,2,1308.55
364,128,Support Contract,3,2531.48
365,129,Software License,4,1675.25
366,129,Training Session,1,868.11
367,129,Support Contract,4,3088.53
368,129,Consulting Services,2,3013.62
369,130,Software License,5,3067.46
370,131,Hardware Purchase,8,4175.95
371,131,Support Contract,10,2328.93
372,131,Software License,7,562.13
373,132,Training Session,7,4552.83
374,133,Software License,7,4766.58
375,133,Consulting Services,5,3575.74
376,134,Training Session,4,1864.36
377,134,Software License,5,4397.47
378,134,Training Session,1,235.99
379,135,Training Session,1,2960.47
380,135,Hardware Purchase,3,4976.99
381,135,Support Contract,4,3898.1
382,135,Support Contract,3,4365.79
383,135,Support Contract,1,3692.95
384,136,Consulting Services,9,931.71
385,137,Software License,1,1574.77
386,137,Consulting Services,10,3357.51
387,137,Consulting Services,6,1184.81
388,137,Training Session,9,1344.29
389,138,Software License,8,4700.01
390,138,Hardware Purchase,10,4337.84
391,138,Software License,6,1809.63
392,139,Support Contract,5,277.07
393,139,Support Contract,4,2747.27
394,139,Consulting Services,10,339.16
395,140,Training Session,7,2646.06
396,140,Hardware Purchase,8,1302.44
397,140,Support Contract,4,1250.2
398,140,Hardware Purchase,7,503.14
399,140,Hardware Purchase,2,4790.03
400,141,Consulting Services,5,759.02
401,142,Software License,9,1915.41
402,142,Training Session,2,1810.92
403,143,Training Session,9,4937.6
404,143,Consulting Services,5,293.83
405,143,Consulting Services,8,3149.28
406,143,Hardware Purchase,3,3461.1
407,144,Support Contract,7,3611.03
408,144,Support Contract,2,4366.74
409,144,Hardware Purchase,4,4780.53
410,144,Support Contract,8,2692.23
411,144,Training Session,8,4505.68
412,145,Training Session,9,1564.5
413,146,Training Session,3,2594.22
414,147,Support Contract,10,1117.29
415,147,Hardware Purchase,7,3009.8
416,147,Hardware Purchase,3,1974.05
417,147,Software License,2,2291.47
418,148,Support Contract,6,4202.2
419,148,Training Session,8,3201.04
420,148,Software License,8,511.11
421,148,Consulting Services,8,1209.03
422,149,Training Session,3,452.87
423,149,Software License,1,2937.41
424,149,Support Contract,2,3249.47
425,150,Training Session,3,858.16
426,150,Support Contract,6,4080.2
427,150,Hardware Purchase,1,375.92
428,150,Support Contract,10,1601.48
429,150,Training Session,3,1120.69
430,151,Hardware Purchase,3,2852.89
431,151,Software License,2,1322.19
432,151,Training Session,5,196.3
433,152,Support Contract,7,4760.82
434,152,Hardware Purchase,1,1886.63
435,152,Consulting Services,1,419.63
436,153,Support Contract,3,420.57
437,153,Support Contract,6,3994.41
438,153,Support Contract,5,2739.64
439,153,Hardware Purchase,6,3768.34
440,154,Training Session,8,812.63
441,154,Software License,1,2236.9
442,155,Training Session,4,1241.94
443,155,Consulting Services,1,2105.72
444,155,Software License,1,4652.66
445,155,Hardware Purchase,2,4892.37
446,155,Support Contract,4,4329.5
447,156,Software License,2,4578.15
448,156,Consulting Services,1,883.03
449,156,Training Session,4,1433.81
450,156,Software License,10,613.92
451,157,Training Session,2,92.0
452,157,Consulting Services,6,3542.09
453,158,Consulting Services,5,4945.05
454,158,Software License,8,2860.01
455,158,Training Session,3,1803.52
456,158,Hardware Purchase,5,3419.86
457,159,Software License,2,4316.96
458,160,Software License,10,4457.09
459,160,Training Session,7,2710.73
460,160,Consulting Services,9,1193.59
461,161,Hardware Purchase,10,631.83
462,161,Hardware Purchase,8,1032.97
463,162,Software License,7,656.14
464,162,Hardware Purchase,9,4993.65
465,162,Training Session,2,4141.24
466,162,Software License,9,3486.1
467,163,Support Contract,6,2574.74
468,163,Consulting Services,6,1469.05
469,164,Support Contract,9,2295.96
470,164,Software License,7,620.67
471,164,Training Session,1,4478.72
472,164,Consulting Services,9,166.01
473,165,Training Session,4,2275.97
474,166,Consulting Services,3,3677.44
475,166,Software License,7,3194.44
476,166,Training Session,2,2078.33
477,166,Hardware Purchase,4,4144.13
478,166,Consulting Services,4,755.79
479,167,Consulting Services,4,4393.86
480,167,Support Contract,9,450.4
481,167,Training Session,10,1171.67
482,167,Support Contract,3,4416.52
483,167,Consulting Services,3,2589.04
484,168,Software License,8,1382.43
485,169,Consulting Services,6,3971.85
486,169,Software License,9,1121.73
487,169,Software License,7,124.26
488,169,Training Session,3,2482.87
489,169,Training Session,5,2851.68
490,170,Hardware Purchase,3,87.6
491,170,Consulting Services,1,1512.08
492,170,Hardware Purchase,10,2750.27
493,171,Hardware Purchase,7,1702.16
494,171,Support Contract,4,1847.03
495,171,Software License,9,2163.09
496,171,Software License,5,123.91
497,171,Training Session,3,2251.83
498,172,Consulting Services,10,2448.4
499,172,Consulting Services,2,1641.75
500,172,Hardware Purchase,8,4865.0
501,172,Hardware Purchase,9,1523.48
502,172,Consulting Services,10,1205.17
503,173,Training Session,2,951.27
504,173,Software License,2,553.59
505,173,Software License,2,3642.75
506,174,Support Contract,10,3816.56
507,174,Consulting Services,1,3170.44
508,174,Support Contract,6,578.57
509,175,Software License,7,1299.16
510,175,Software License,4,373.59
511,175,Training Session,10,424.59
512,175,Training Session,2,1552.45
513,176,Software License,2,2071.49
514,176,Training Session,10,4640.75
515,176,Software License,1,3089.76
516,177,Software License,8,1153.92
517,177,Consulting Services,5,855.6
518,177,Consulting Services,8,1982.65
519,177,Consulting Services,8,1173.1
520,178,Support Contract,9,2196.52
521,178,Training Session,5,4387.83
522,178,Training Session,2,563.1
523,179,Support Contract,1,4744.56
524,179,Consulting Services,8,1009.33
525,180,Hardware Purchase,9,2018.88
526,180,Software License,7,4712.71
527,180,Software License,4,2088.88
528,180,Hardware Purchase,9,1176.93
529,180,Consulting Services,3,544.97
530,181,Training Session,9,3108.98
531,181,Training Session,6,2713.96
532,181,Training Session,9,974.35
533,181,Hardware Purchase,1,441.32
534,182,Support Contract,1,3391.7
535,182,Support Contract,6,3884.93
536,182,Hardware Purchase,1,3429.65
537,182,Training Session,3,3970.86
538,183,Consulting Services,9,462.99
539,183,Consulting Services,1,1074.61
540,183,Hardware Purchase,7,2149.46
541,183,Hardware Purchase,10,788.66
542,184,Hardware Purchase,2,525.17
543,184,Support Contract,9,750.94
544,185,Consulting Services,5,1825.73
545,185,Training Session,7,4356.99
546,185,Training Session,2,2205.04
547,185,Hardware Purchase,6,2088.78
548,186,Software License,8,1366.3
549,186,Training Session,7,1378.5
550,186,Support Contract,2,3063.83
551,186,Hardware Purchase,5,2395.89
552,186,Support Contract,3,3113.97
553,187,Training Session,9,1148.78
554,187,Consulting Services,4,3475.27
555,187,Consulting Services,2,3113.98
556,188,Support Contract,4,2949.68
557,188,Hardware Purchase,6,3294.15
558,188,Consulting Services,9,4942.83
559,188,Software License,10,4523.72
560,189,Consulting Services,9,4906.1
561,189,Support Contract,9,356.18
562,189,Software License,4,1289.22
563,189,Support Contract,7,4358.79
564,190,Software License,4,2933.64
565,190,Software License,10,1919.53
566,190,Software License,4,4406.01
567,191,Hardware Purchase,6,3830.7
568,191,Hardware Purchase,10,2551.7
569,191,Training Session,2,2451.39
570,191,Hardware Purchase,6,1048.28
571,191,Consulting Services,1,2079.55
572,192,Training Session,9,2671.78
573,193,Support Contract,6,1572.7
574,193,Consulting Services,7,3610.31
575,193,Software License,10,4989.18
576,194,Support Contract,8,4011.24
577,194,Hardware Purchase,4,216.21
578,194,Software License,5,3718.05
579,194,Software License,8,2320.34
580,194,Consulting Services,1,2645.16
581,195,Training Session,6,1428.77
582,196,Software License,2,3261.9
583,196,Training Session,5,3888.7
584,196,Training Session,6,4614.28
585,197,Consulting Services,10,3583.52
586,197,Training Session,6,2987.33
587,197,Software License,3,3097.72
588,197,Hardware Purchase,8,1746.51
589,197,Hardware Purchase,1,3913.29
590,198,Hardware Purchase,8,3579.98
591,198,Consulting Services,3,87.38
592,199,Training Session,1,99.94
593,199,Consulting Services,1,2302.17
594,199,Support Contract,2,4380.32
595,199,Hardware Purchase,10,3701.52
596,199,Consulting Services,10,4700.08
597,200,Support Contract,4,910.23
598,200,Support Contract,6,1944.97
599,200,Support Contract,1,546.5
600,201,Hardware Purchase,3,4005.47
601,201,Training Session,5,493.65
602,201,Software License,2,2022.56
603,201,Training Session,9,2896.17
604,201,Support Contract,5,3475.01
605,202,Support Contract,1,4664.91
606,202,Support Contract,5,1664.55
607,202,Consulting Services,3,1880.13
608,202,Consulting Services,8,3771.12
609,203,Consulting Services,2,2567.03
610,203,Software License,7,2658.03
611,203,Training Session,7,4386.09
612,204,Software License,6,3071.21
613,205,Software License,4,2062.61
614,206,Consulting Services,6,3152.47
615,207,Training Session,5,1359.88
616,207,Hardware Purchase,2,943.68
617,207,Training Session,9,3118.8
618,208,Software License,9,4598.54
619,208,Hardware Purchase,3,3485.02
620,208,Support Contract,5,4927.69
621,209,Support Contract,3,508.9
622,209,Support Contract,10,4002.81
623,210,Hardware Purchase,8,1229.08
624,210,Consulting Services,4,1527.43
625,211,Consulting Services,8,2673.36
626,211,Support Contract,4,2329.31
627,211,Hardware Purchase,4,4080.84
628,211,Software License,8,560.76
629,211,Software License,8,174.39
630,212,Consulting Services,3,2536.92
631,213,Software License,1,2276.05
632,213,Hardware Purchase,8,2031.18
633,214,Consulting Services,2,423.21
634,215,Software License,2,1776.24
635,215,Consulting Services,2,3933.2
636,215,Training Session,10,2290.92
637,215,Support Contract,4,1479.93
638,215,Software License,8,3556.79
639,216,Support Contract,3,2778.2
640,216,Training Session,10,3038.88
641,216,Training Session,6,4829.33
642,216,Training Session,6,2730.77
643,216,Support Contract,8,1934.02
644,217,Support Contract,2,2298.02
645,217,Hardware Purchase,3,1892.07
646,218,Support Contract,3,3492.18
647,218,Hardware Purchase,4,2952.43
648,218,Training Session,5,4229.86
649,219,Software License,5,2582.67
650,219,Software License,5,3162.26
651,219,Consulting Services,2,1868.5
652,219,Training Session,1,2658.13
653,219,Training Session,10,3917.96
654,220,Training Session,4,2035.12
655,220,Support Contract,6,762.22
656,221,Hardware Purchase,3,244.24
657,221,Consulting Services,2,3445.48
658,222,Support Contract,7,825.69
659,222,Consulting Services,2,3181.44
660,222,Training Session,1,255.49
661,222,Support Contract,9,1890.8
662,223,Support Contract,10,3173.38
663,223,Software License,3,4818.12
664,223,Training Session,4,1983.16
665,223,Consulting Services,6,1161.26
666,223,Support Contract,2,3855.16
667,224,Consulting Services,10,4222.39
668,225,Consulting Services,4,2861.69
669,226,Software License,3,1874.54
670,227,Hardware Purchase,8,4487.51
671,227,Training Session,2,4306.14
672,227,Software License,6,1016.73
673,228,Consulting Services,4,3813.86
674,229,Hardware Purchase,7,2373.13
675,230,Training Session,8,1092.5
676,230,Support Contract,7,4609.43
677,230,Hardware Purchase,5,2692.14
678,231,Software License,6,2766.08
679,231,Software License,5,3362.86
680,231,Support Contract,2,433.87
681,232,Training Session,6,1764.94
682,232,Training Session,9,4439.39
683,233,Consulting Services,6,986.75
684,233,Training Session,1,885.94
685,233,Hardware Purchase,1,3306.14
686,233,Consulting Services,10,2627.93
687,233,Software License,10,443.88
688,234,Training Session,1,4137.95
689,234,Consulting Services,7,327.66
690,234,Consulting Services,8,1561.71
691,234,Hardware Purchase,8,1513.69
692,234,Consulting Services,9,2213.48
693,235,Training Session,4,2265.45
694,236,Training Session,5,2540.8
695,236,Support Contract,4,2442.32
696,236,Hardware Purchase,6,2522.07
697,237,Software License,4,830.18
698,237,Hardware Purchase,9,1290.24
699,237,Consulting Services,6,2947.53
700,237,Consulting Services,7,1737.85
701,238,Support Contract,4,466.17
702,239,Support Contract,7,1171.46
703,239,Support Contract,6,3007.43
704,240,Software License,8,1218.68
705,240,Training Session,2,1734.35
706,240,Hardware Purchase,7,645.01
707,240,Support Contract,1,3325.1
708,241,Hardware Purchase,5,2691.87
709,241,Consulting Services,4,2444.92
710,241,Consulting Services,9,2568.22
711,241,Software License,2,3796.75
712,241,Consulting Services,1,1129.99
713,242,Support Contract,9,4982.5
714,242,Training Session,5,2722.59
715,242,Support Contract,10,4507.56
716,242,Support Contract,4,3434.49
717,242,Consulting Services,5,1575.05
718,243,Hardware Purchase,10,3060.0
719,243,Hardware Purchase,2,4768.91
720,243,Training Session,8,4481.15
721,243,Hardware Purchase,2,4996.67
722,243,Consulting Services,10,1612.82
723,244,Software License,1,3381.75
724,244,Hardware Purchase,8,1337.35
725,245,Training Session,9,807.43
726,245,Consulting Services,5,771.12
727,245,Hardware Purchase,5,2078.79
728,246,Hardware Purchase,2,3098.36
729,246,Training Session,6,4683.33
730,247,Consulting Services,6,1331.33
731,247,Training Session,5,1033.34
732,247,Training Session,2,1093.03
733,247,Software License,7,2874.28
734,248,Software License,7,516.97
735,249,Hardware Purchase,2,2001.63
736,249,Consulting Services,5,74.22
737,249,Hardware Purchase,4,2558.22
738,249,Training Session,3,1859.19
739,249,Consulting Services,2,3795.11
740,250,Support Contract,6,602.59
741,251,Support Contract,3,756.73
742,251,Support Contract,3,147.95
743,251,Support Contract,10,3260.04
744,252,Software License,4,1070.82
745,252,Hardware Purchase,3,1054.27
746,252,Support Contract,1,1101.19
747,252,Consulting Services,4,4642.71
748,252,Software License,1,2804.89
749,253,Consulting Services,3,399.64
750,253,Support Contract,5,1109.83
751,253,Software License,2,4840.09
752,253,Software License,10,4504.53
753,254,Training Session,6,4604.58
754,254,Software License,9,1246.87
755,254,Consulting Services,8,1734.24
756,255,Software License,6,3828.78
757,255,Support Contract,1,1855.4
758,255,Training Session,9,3758.63
759,256,Training Session,2,166.74
760,256,Consulting Services,4,432.38
761,256,Software License,9,4861.64
762,256,Software License,4,493.24
763,257,Hardware Purchase,10,2331.42
764,257,Software License,8,1861.95
765,257,Support Contract,5,2136.75
766,257,Software License,2,3432.79
767,258,Training Session,1,4994.75
768,258,Consulting Services,10,4656.54
769,259,Software License,8,4565.57
770,260,Software License,10,1528.48
771,260,Training Session,1,1592.69
772,260,Support Contract,9,3559.02
773,260,Software License,10,3426.25
774,260,Consulting Services,8,3346.75
775,261,Consulting Services,3,2010.18
776,262,Support Contract,5,941.78
777,262,Hardware Purchase,1,4499.16
778,262,Support Contract,7,1065.81
779,263,Hardware Purchase,6,1912.55
780,263,Training Session,5,92.55
781,263,Support Contract,3,4887.93
782,264,Support Contract,4,1343.51
783,264,Training Session,1,4264.72
784,264,Hardware Purchase,4,1719.36
785,265,Consulting Services,9,546.6
786,266,Support Contract,9,2220.88
787,267,Hardware Purchase,8,4670.46
788,268,Software License,4,2244.49
789,268,Consulting Services,8,4007.07
790,268,Hardware Purchase,6,2924.87
791,269,Software License,1,341.17
792,269,Hardware Purchase,9,1467.05
793,269,Consulting Services,7,488.1
794,269,Hardware Purchase,8,3180.87
795,270,Software License,5,218.13
796,270,Hardware Purchase,3,3562.4
797,270,Support Contract,8,1593.77
798,270,Hardware Purchase,8,1512.81
799,270,Training Session,8,4345.65
800,271,Software License,3,3756.52
801,271,Hardware Purchase,10,589.13
802,271,Hardware Purchase,8,173.43
803,271,Training Session,7,1125.87
804,271,Hardware Purchase,5,2721.16
805,272,Software License,5,931.71
806,272,Software License,9,3049.44
807,273,Consulting Services,10,3978.71
808,273,Consulting Services,2,1166.95
809,273,Software License,7,3910.85
810,274,Software License,5,1497.33
811,274,Software License,7,787.28
812,274,Software License,8,3025.66
813,274,Training Session,3,4968.98
814,275,Software License,5,3250.89
815,275,Consulting Services,9,2560.07
816,275,Support Contract,4,802.64
817,275,Support Contract,4,4507.3
818,275,Support Contract,2,1567.82
819,276,Software License,8,2822.58
820,276,Training Session,10,3218.85
821,276,Hardware Purchase,3,136.14
822,277,Training Session,9,3820.29
